Gene	MutSig(Q-value)	# Mut	#Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
SPATA31D1		4	4	499	0.8%	No
ZMYND11		1	1	499	0.2%	No
IFT46		1	1	499	0.2%	No
ZMYND12		4	4	499	0.8%	No
SHANK3		2	2	499	0.4%	No
SHANK2		8	5	499	1.0%	No
PLEC		9	6	499	1.2%	No
SHANK1		3	3	499	0.6%	No
PSMB11		2	2	499	0.4%	No
GALT		1	1	499	0.2%	No
TAFAZZIN		1	1	499	0.2%	No
CBL		1	1	499	0.2%	Yes
IL1RL1		1	1	499	0.2%	No
IFT74		1	1	499	0.2%	No
IL1RL2		2	2	499	0.4%	No
NWD1		6	6	499	1.2%	No
MTA1		2	2	499	0.4%	No
SV2B		2	2	499	0.4%	No
CBS		1	1	499	0.2%	No
OXCT1		5	2	499	0.4%	No
SV2A		3	3	499	0.6%	No
TDG		1	1	499	0.2%	No
TBX20		3	3	499	0.6%	No
MVB12B		1	1	499	0.2%	No
SLIT1		2	2	499	0.4%	No
CLVS2		1	1	499	0.2%	No
DROSHA		3	3	499	0.6%	Yes
SLIT3		4	4	499	0.8%	Yes
RALY		1	1	499	0.2%	No
SLIT2		3	2	499	0.4%	Yes
MTA2		1	1	499	0.2%	No
SPATA31E1		2	2	499	0.4%	No
CLVS1		2	2	499	0.4%	No
OR1D5		1	1	499	0.2%	No
OR1D2		1	1	499	0.2%	No
RRM2		1	1	499	0.2%	No
HSD3B2		2	2	499	0.4%	No
HSD3B1		2	2	499	0.4%	Yes
ZIC4		3	3	499	0.6%	No
HS3ST6		1	1	499	0.2%	No
ZIC5		3	3	499	0.6%	No
SUOX		1	1	499	0.2%	No
TBX19		2	2	499	0.4%	No
WARS1		1	1	499	0.2%	No
TBX18		4	4	499	0.8%	No
WARS2		2	2	499	0.4%	No
CD2		1	1	499	0.2%	No
GALC		1	1	499	0.2%	No
TBX15		2	2	499	0.4%	No
CD4		1	1	499	0.2%	No
GALE		1	1	499	0.2%	No
TEC		1	1	499	0.2%	Yes
CD6		1	1	499	0.2%	No
TNIP1		3	3	499	0.6%	No
TNIP2		1	1	499	0.2%	No
TNIP3		1	1	499	0.2%	No
TBX10		1	1	499	0.2%	No
CD9		1	1	499	0.2%	No
TEK		2	2	499	0.4%	Yes
IPO13		1	1	499	0.2%	No
VPS29		1	1	499	0.2%	No
IPO11		1	1	499	0.2%	No
FRMPD3		2	1	499	0.2%	No
FRMPD4		1	1	499	0.2%	No
FRMPD1		5	4	499	0.8%	No
RRP1		1	1	499	0.2%	No
FRMPD2		2	2	499	0.4%	No
CWH43		2	2	499	0.4%	No
MSANTD4		2	2	499	0.4%	No
SLCO6A1		3	3	499	0.6%	No
GRPR		1	1	499	0.2%	No
CAPN15		3	3	499	0.6%	No
RRP9		1	1	499	0.2%	No
MTBP		3	2	499	0.4%	No
ALCAM		2	2	499	0.4%	No
TFG		1	1	499	0.2%	Yes
ZSCAN31		1	1	499	0.2%	No
SCN11A		8	8	499	1.6%	No
IGKV1-17		1	1	499	0.2%	No
ZSCAN30		2	2	499	0.4%	No
VPS35		2	2	499	0.4%	No
VPS39		1	1	499	0.2%	No
PRKCG		1	1	499	0.2%	No
VPS18		1	1	499	0.2%	No
PRKCI		1	1	499	0.2%	Yes
PRKCH		1	1	499	0.2%	No
TAAR8		3	3	499	0.6%	No
PRKCB		2	2	499	0.4%	No
TAAR9		1	1	499	0.2%	No
PRKCE		2	1	499	0.2%	No
DNAAF1		5	2	499	0.4%	No
TAAR6		3	3	499	0.6%	No
HUS1		1	1	499	0.2%	No
TAAR5		1	1	499	0.2%	No
AFAP1		5	4	499	0.8%	No
PRKCA		2	2	499	0.4%	No
TAAR2		1	1	499	0.2%	No
DNAAF5		2	2	499	0.4%	No
DNAAF4		1	1	499	0.2%	No
GANC		3	2	499	0.4%	No
DNAAF9		4	4	499	0.8%	No
DNAAF8		1	1	499	0.2%	No
BCAN		5	3	499	0.6%	No
BCAM		3	3	499	0.6%	No
MTAP		1	1	499	0.2%	Yes
SCN10A		8	8	499	1.6%	No
DAAM1		4	3	499	0.6%	No
IGKV1-27		1	1	499	0.2%	No
DAAM2		4	4	499	0.8%	No
PRKD3		1	1	499	0.2%	No
HECW2		1	1	499	0.2%	No
ZSCAN22		1	1	499	0.2%	No
KRTAP4-11		25	24	499	4.8%	No
ZSCAN21		2	2	499	0.4%	No
HECW1		2	2	499	0.4%	No
ZSCAN23		1	1	499	0.2%	No
PRKCQ		3	2	499	0.4%	No
PRKD2		1	1	499	0.2%	No
TARS2		3	3	499	0.6%	No
SRFBP1		3	3	499	0.6%	No
NUP98		4	4	499	0.8%	Yes
PRKD1		2	2	499	0.4%	Yes
TARS3		1	1	499	0.2%	No
ZSCAN25		2	2	499	0.4%	No
TARS1		4	4	499	0.8%	No
FREM1		4	4	499	0.8%	No
CFB		3	2	499	0.4%	No
VPS28		1	1	499	0.2%	No
FREM2		13	9	499	1.8%	No
ZSCAN29		1	1	499	0.2%	No
CFD		1	1	499	0.2%	No
CFH		9	8	499	1.6%	No
PRKDC		11	10	499	2.0%	Yes
CFI		1	1	499	0.2%	No
PRDM15		1	1	499	0.2%	No
METTL25B		1	1	499	0.2%	No
PRDM14		2	2	499	0.4%	Yes
PRDM12		2	2	499	0.4%	No
SDSL		1	1	499	0.2%	No
PRKCZ		3	3	499	0.6%	No
PRDM10		1	1	499	0.2%	No
MTDH		2	2	499	0.4%	No
RRP7A		1	1	499	0.2%	No
NUP85		3	3	499	0.6%	No
PRDM16		3	3	499	0.6%	Yes
ZSCAN10		5	5	499	1.0%	No
GAR1		1	1	499	0.2%	No
VPS11		2	2	499	0.4%	No
NUP88		1	1	499	0.2%	No
ST3GAL6		1	1	499	0.2%	No
CGA		1	1	499	0.2%	No
ST3GAL1		2	2	499	0.4%	No
ZSCAN16		1	1	499	0.2%	No
ST3GAL3		1	1	499	0.2%	No
VPS16		2	2	499	0.4%	No
FAM120AOS		1	1	499	0.2%	No
PLK4		3	2	499	0.4%	No
LRRC37A3		1	1	499	0.2%	No
PLK3		3	3	499	0.6%	No
LRRC37A2		1	1	499	0.2%	No
HOMER1		1	1	499	0.2%	No
MCAM		1	1	499	0.2%	No
PLK1		1	1	499	0.2%	No
CGN		4	3	499	0.6%	No
PEDS1-UBE2V1		1	1	499	0.2%	No
MEX3B		1	1	499	0.2%	No
MEX3A		1	1	499	0.2%	No
SETD4		1	1	499	0.2%	Yes
BTG4		1	1	499	0.2%	No
DENND1C		1	1	499	0.2%	No
BTG3		2	2	499	0.4%	No
SETD5		7	3	499	0.6%	Yes
DENND1B		1	1	499	0.2%	No
CDKN1A		2	2	499	0.4%	Yes
RARG		1	1	499	0.2%	No
SETD2		10	10	499	2.0%	Yes
BTG1		1	1	499	0.2%	Yes
CDKN1B	1.990e-2	6	6	499	1.2%	Yes
SETD3		1	1	499	0.2%	Yes
DENND1A		3	2	499	0.4%	No
SETD6		1	1	499	0.2%	Yes
SETD7		1	1	499	0.2%	Yes
STON1		1	1	499	0.2%	No
CHM		3	3	499	0.6%	No
ASH2L		1	1	499	0.2%	No
STON2		2	1	499	0.2%	No
ASGR1		1	1	499	0.2%	No
ASGR2		1	1	499	0.2%	No
ADAMTSL1		5	5	499	1.0%	No
ADAMTSL5		1	1	499	0.2%	No
ADAMTSL4		1	1	499	0.2%	No
MTG1		1	1	499	0.2%	No
MTG2		2	2	499	0.4%	No
ADAMTSL3		2	2	499	0.4%	No
DENND11		1	1	499	0.2%	No
ADAMTSL2		1	1	499	0.2%	No
DENND10		1	1	499	0.2%	No
ELOA		5	5	499	1.0%	No
GAST		1	1	499	0.2%	No
ELOB		1	1	499	0.2%	No
RRP12		4	4	499	0.8%	No
CIC		1	1	499	0.2%	Yes
DENND2C		1	1	499	0.2%	No
EXOC7		1	1	499	0.2%	No
PLLP		1	1	499	0.2%	No
ZSCAN5B		1	1	499	0.2%	No
DENND2B		3	3	499	0.6%	No
DENND2A		2	2	499	0.4%	No
COPZ2		1	1	499	0.2%	No
ASH1L		8	8	499	1.6%	No
CIT		3	3	499	0.6%	No
ANGPTL7		1	1	499	0.2%	No
ANGPTL6		2	2	499	0.4%	No
MTF1		5	4	499	0.8%	No
RARA		1	1	499	0.2%	Yes
EXOC4		2	2	499	0.4%	No
PLIN4		2	2	499	0.4%	No
RARB		3	3	499	0.6%	No
PLIN3		3	3	499	0.6%	No
EXOC3		4	1	499	0.2%	No
ANGPTL2		1	1	499	0.2%	No
PLIN2		1	1	499	0.2%	No
EXOC6		1	1	499	0.2%	No
ANGPTL5		1	1	499	0.2%	No
PLIN1		1	1	499	0.2%	No
SINHCAF		1	1	499	0.2%	No
TKT		2	2	499	0.4%	No
RCCD1		1	1	499	0.2%	No
GART		1	1	499	0.2%	No
MOCS1		2	2	499	0.4%	No
GAS8		2	2	499	0.4%	No
EXOC2		4	4	499	0.8%	No
GAS7		2	2	499	0.4%	Yes
EXOC1		4	4	499	0.8%	No
PLIN5		1	1	499	0.2%	No
NFIX		1	1	499	0.2%	No
DCAF12L2		2	2	499	0.4%	No
DCAF12L1		3	3	499	0.6%	No
PRUNE2		3	1	499	0.2%	No
PAPSS2		1	1	499	0.2%	No
APOL4		1	1	499	0.2%	No
METTL21C		1	1	499	0.2%	No
ERMP1		1	1	499	0.2%	No
APOL6		1	1	499	0.2%	No
OLFML3		1	1	499	0.2%	No
ARRDC1-AS1		1	1	499	0.2%	No
RRP36		5	5	499	1.0%	No
CKB		1	1	499	0.2%	No
APOL1		1	1	499	0.2%	No
PAIP2		1	1	499	0.2%	No
MBNL3		1	1	499	0.2%	No
ZIM2		2	2	499	0.4%	No
APOL2		1	1	499	0.2%	No
ZIM3		1	1	499	0.2%	No
BCHE		3	3	499	0.6%	No
HIPK4		1	1	499	0.2%	No
CDKN2A		1	1	499	0.2%	Yes
IL10RA		2	2	499	0.4%	No
MOCOS		2	2	499	0.4%	No
ELP1		2	2	499	0.4%	No
GATC		1	1	499	0.2%	No
GATB		1	1	499	0.2%	No
ELP2		2	2	499	0.4%	Yes
ELP3		1	1	499	0.2%	No
SNCAIP		4	4	499	0.8%	Yes
ELP5		1	1	499	0.2%	No
HIPK1		4	3	499	0.6%	No
HIPK3		1	1	499	0.2%	No
HIPK2		5	2	499	0.4%	No
RFLNA		2	2	499	0.4%	No
NFIA		1	1	499	0.2%	No
NFIB		1	1	499	0.2%	Yes
PLP1		1	1	499	0.2%	No
FOSB		1	1	499	0.2%	No
COQ8A		3	3	499	0.6%	No
TNC		4	3	499	0.6%	No
TNF		1	1	499	0.2%	No
TNN		5	5	499	1.0%	No
CFL1		1	1	499	0.2%	No
TNR		2	2	499	0.4%	No
OIP5		1	1	499	0.2%	No
IL13RA1		1	1	499	0.2%	No
PLS1		2	2	499	0.4%	No
MAP2K3		1	1	499	0.2%	No
KCMF1		1	1	499	0.2%	No
MAP2K4		4	4	499	0.8%	Yes
C8ORF58		1	1	499	0.2%	No
COL27A1		5	5	499	1.0%	No
RALGAPA1		3	2	499	0.4%	No
RALGAPA2		4	3	499	0.6%	No
SKIDA1		8	8	499	1.6%	No
DIO2		2	2	499	0.4%	No
DIO3		1	1	499	0.2%	No
LARP4B		3	3	499	0.6%	Yes
FAM91A1		2	2	499	0.4%	No
LEMD2		1	1	499	0.2%	No
LEMD1		1	1	499	0.2%	No
TOM1L1		1	1	499	0.2%	No
MTNR1A		1	1	499	0.2%	No
OBSCN		24	18	499	3.6%	No
MTNR1B		2	2	499	0.4%	No
H4C12		1	1	499	0.2%	No
FKBP8		1	1	499	0.2%	No
FKBP7		1	1	499	0.2%	No
FKBP4		3	3	499	0.6%	No
PPEF1		1	1	499	0.2%	No
TOX		1	1	499	0.2%	No
PPEF2		3	3	499	0.6%	No
FKBP6		1	1	499	0.2%	No
FKBP5		1	1	499	0.2%	No
INSIG2		1	1	499	0.2%	No
INSIG1		1	1	499	0.2%	No
MTM1		1	1	499	0.2%	No
TPO		5	5	499	1.0%	No
TPR		6	6	499	1.2%	Yes
CD300LB		3	2	499	0.4%	No
BTLA		1	1	499	0.2%	Yes
MAP2K7		4	4	499	0.8%	No
PLTP		1	1	499	0.2%	No
MCL1		1	1	499	0.2%	Yes
MAP2K6		1	1	499	0.2%	No
SYNJ2		3	3	499	0.6%	No
COPRS		1	1	499	0.2%	No
BCL9		5	4	499	0.8%	Yes
COPS6		1	1	499	0.2%	No
BCL6		5	5	499	1.0%	Yes
SYNJ1		3	3	499	0.6%	No
CPD		1	1	499	0.2%	No
CPE		1	1	499	0.2%	No
COPS8		2	1	499	0.2%	No
COPS9		2	2	499	0.4%	No
CPM		1	1	499	0.2%	No
BMPR2		3	2	499	0.4%	No
GAL3ST1		2	2	499	0.4%	No
MCM7		1	1	499	0.2%	No
COL14A1		4	3	499	0.6%	No
CPQ		1	1	499	0.2%	No
ZC3H4		6	4	499	0.8%	No
MCM8		5	4	499	0.8%	No
ZC3H3		2	2	499	0.4%	No
ZC3H6		2	2	499	0.4%	No
CPZ		1	1	499	0.2%	No
SYNE3		3	3	499	0.6%	No
SYNE2		7	6	499	1.2%	No
SYNE1		38	27	499	5.4%	No
KBTBD13		1	1	499	0.2%	No
KBTBD12		2	2	499	0.4%	No
CEP170B		3	3	499	0.6%	No
SERAC1		1	1	499	0.2%	No
EVI5L		2	2	499	0.4%	No
OIT3		1	1	499	0.2%	No
GAL3ST3		2	2	499	0.4%	No
PRKG1		2	2	499	0.4%	No
GAL3ST4		2	2	499	0.4%	No
CR2		2	2	499	0.4%	No
CR1		2	2	499	0.4%	No
DIS3		3	3	499	0.6%	Yes
SGIP1		5	5	499	1.0%	No
SECISBP2L		3	3	499	0.6%	No
LANCL1		3	3	499	0.6%	No
APOA4		2	2	499	0.4%	No
APOA5		1	1	499	0.2%	No
TSN		1	1	499	0.2%	No
FREY1		1	1	499	0.2%	No
ESPL1		3	3	499	0.6%	No
MCM3		4	2	499	0.4%	No
LANCL2		1	1	499	0.2%	No
MCM4		2	2	499	0.4%	No
XCL1		1	1	499	0.2%	No
MCM5		1	1	499	0.2%	No
MCM6		4	4	499	0.8%	No
CRK		1	1	499	0.2%	No
MCM2		1	1	499	0.2%	No
HDAC4		3	1	499	0.2%	Yes
HDAC5		4	4	499	0.8%	No
CEBPB		1	1	499	0.2%	No
HDAC2		1	1	499	0.2%	Yes
HDAC3		3	3	499	0.6%	No
CEBPE		2	2	499	0.4%	No
HDAC1		1	1	499	0.2%	Yes
CEBPG		1	1	499	0.2%	No
TULP4		2	2	499	0.4%	No
TTK		2	2	499	0.4%	No
TULP2		2	2	499	0.4%	No
TULP1		2	2	499	0.4%	No
HDAC8		2	2	499	0.4%	No
HDAC9		2	2	499	0.4%	No
TTL		1	1	499	0.2%	Yes
HDAC6		4	3	499	0.6%	No
TTN		94	63	499	12.6%	No
STOX2		3	3	499	0.6%	No
ABLIM1		3	3	499	0.6%	No
NFS1		1	1	499	0.2%	No
HECTD1		5	3	499	0.6%	No
VPS51		1	1	499	0.2%	No
HECTD2		3	3	499	0.6%	No
VPS50		4	4	499	0.8%	No
HECTD3		2	2	499	0.4%	No
VPS53		3	2	499	0.4%	No
HECTD4		10	9	499	1.8%	No
VPS52		2	2	499	0.4%	No
IL21R		2	2	499	0.4%	Yes
XIRP1		9	7	499	1.4%	No
VPS54		1	1	499	0.2%	No
XIRP2		13	11	499	2.2%	No
ALOXE3		1	1	499	0.2%	No
STOX1		1	1	499	0.2%	No
TUB		2	2	499	0.4%	No
SLC35A4		1	1	499	0.2%	No
MTOR		5	3	499	0.6%	Yes
CPPED1		2	1	499	0.2%	No
ASXL1		4	3	499	0.6%	Yes
EVI2A		2	2	499	0.4%	No
CTH		2	2	499	0.4%	No
MAB21L1		2	1	499	0.2%	No
GLOD4		3	3	499	0.6%	No
ASXL3		1	1	499	0.2%	No
APOC1		1	1	499	0.2%	No
VPS41		4	3	499	0.6%	No
ASXL2		4	4	499	0.8%	Yes
CEBPZ		2	2	499	0.4%	No
BCOR		1	1	499	0.2%	Yes
C8ORF74		2	2	499	0.4%	No
EVI2B		1	1	499	0.2%	No
TCERG1		5	5	499	1.0%	No
DYNC2I1		1	1	499	0.2%	No
HDAC10		1	1	499	0.2%	No
WDSUB1		1	1	499	0.2%	No
DCAF4L1		2	2	499	0.4%	No
ZMYND8		6	4	499	0.8%	No
PITPNB		1	1	499	0.2%	No
IL23R		1	1	499	0.2%	No
AQP9		4	4	499	0.8%	No
DCAF4L2		6	6	499	1.2%	No
AQP6		1	1	499	0.2%	No
AQP4		1	1	499	0.2%	No
AQP5		1	1	499	0.2%	No
AQP2		1	1	499	0.2%	No
MKI67		11	11	499	2.2%	Yes
C14ORF93		1	1	499	0.2%	No
GBA2		1	1	499	0.2%	No
AQP1		1	1	499	0.2%	No
RPS6KA4		3	3	499	0.6%	Yes
KIAA0930		1	1	499	0.2%	No
NIPAL4		1	1	499	0.2%	No
RPS6KA6		1	1	499	0.2%	No
CFAP276		1	1	499	0.2%	No
RPS6KA5		3	3	499	0.6%	No
NIPAL1		2	2	499	0.4%	No
RPS6KA2		2	1	499	0.2%	No
RPS6KA1		3	2	499	0.4%	No
NIPAL3		2	1	499	0.2%	No
DUSP13B		2	2	499	0.4%	No
ARFIP2		1	1	499	0.2%	No
H4C2		4	4	499	0.8%	No
H4C1		2	2	499	0.4%	No
BTRC		3	2	499	0.4%	No
SYNPO		3	3	499	0.6%	No
H4C5		1	1	499	0.2%	No
DYNC2H1		1	1	499	0.2%	No
CPT1A		2	2	499	0.4%	No
TANGO6		1	1	499	0.2%	No
IL1R2		1	1	499	0.2%	No
SLC35C2		1	1	499	0.2%	No
TANGO2		1	1	499	0.2%	No
IFRD1		1	1	499	0.2%	No
SLC35C1		2	2	499	0.4%	No
KNL1		2	2	499	0.4%	Yes
CPT1C		5	5	499	1.0%	No
CPT1B		2	2	499	0.4%	No
IGKV2D-29		3	3	499	0.6%	No
NIF3L1		1	1	499	0.2%	No
HECA		3	3	499	0.6%	No
GSAP		1	1	499	0.2%	No
CAGE1		1	1	499	0.2%	No
OBSL1		1	1	499	0.2%	No
CFTR		3	2	499	0.4%	No
SLC22A4		2	2	499	0.4%	No
SPRR2E		1	1	499	0.2%	No
SLC22A3		1	1	499	0.2%	No
SPRR2F		2	2	499	0.4%	No
RTEL1		3	3	499	0.6%	Yes
SLC22A5		3	1	499	0.2%	No
SLC22A2		1	1	499	0.2%	No
SH2D2A		1	1	499	0.2%	No
MTTP		3	3	499	0.6%	No
SLC35D2		1	1	499	0.2%	No
TRANK1		7	7	499	1.4%	No
CRHR2		1	1	499	0.2%	No
GPR15LG		2	2	499	0.4%	No
STRIP1		1	1	499	0.2%	No
CFAP251		3	2	499	0.4%	No
STRIP2		1	1	499	0.2%	No
GSE1		1	1	499	0.2%	No
FAM43B		1	1	499	0.2%	No
ARGLU1		1	1	499	0.2%	No
SPRR2D		1	1	499	0.2%	No
XCR1		2	2	499	0.4%	No
SLC35E1		2	2	499	0.4%	No
SYNRG		3	3	499	0.6%	No
SLC35E4		1	1	499	0.2%	No
SH2D1B		1	1	499	0.2%	No
TYR		2	2	499	0.4%	No
ZZZ3		2	2	499	0.4%	No
VNN2		1	1	499	0.2%	No
MPHOSPH10		1	1	499	0.2%	No
SLC22A8		2	2	499	0.4%	No
SPRR1A		1	1	499	0.2%	No
TECPR2		3	3	499	0.6%	No
SLC22A7		3	3	499	0.6%	No
TECPR1		3	3	499	0.6%	No
SLC22A9		1	1	499	0.2%	No
TENM1		2	1	499	0.2%	No
SLC35F6		1	1	499	0.2%	No
C17ORF78		2	2	499	0.4%	No
TENM2		10	7	499	1.4%	No
C17ORF75		1	1	499	0.2%	No
TENM3		3	3	499	0.6%	No
TENM4		3	3	499	0.6%	No
SLC35F3		4	3	499	0.6%	No
SLC35F2		1	1	499	0.2%	No
GBE1		2	2	499	0.4%	No
SLC35F5		1	1	499	0.2%	No
MCUB		1	1	499	0.2%	No
SLC35F4		2	2	499	0.4%	No
RSF1		2	2	499	0.4%	No
SLC35F1		1	1	499	0.2%	No
SIPA1L2		4	4	499	0.8%	No
SIPA1L3		7	7	499	1.4%	No
SIPA1L1		10	7	499	1.4%	No
GSG1		1	1	499	0.2%	No
ERMAP		2	2	499	0.4%	No
TMED6		1	1	499	0.2%	No
ZYG11B		1	1	499	0.2%	No
TMED9		2	2	499	0.4%	No
TMED8		1	1	499	0.2%	No
HEG1		3	3	499	0.6%	No
SLC35G6		1	1	499	0.2%	No
SLC35G5		1	1	499	0.2%	No
C17ORF80		2	2	499	0.4%	No
TYK2		2	2	499	0.4%	Yes
MTSS1		2	2	499	0.4%	No
SCNM1		1	1	499	0.2%	No
NFX1		2	1	499	0.2%	No
C1QTNF12		1	1	499	0.2%	No
AMER1		1	1	499	0.2%	Yes
MEGF6		4	3	499	0.6%	No
AMER3		4	3	499	0.6%	No
FAM47C		14	10	499	2.0%	No
FAM47A		5	5	499	1.0%	No
FAM47B		7	7	499	1.4%	No
RGPD8		18	18	499	3.6%	No
TYMS		1	1	499	0.2%	No
RGPD4		3	3	499	0.6%	No
RGPD3		7	7	499	1.4%	No
TCEAL8		1	1	499	0.2%	No
TCEAL6		2	2	499	0.4%	No
TCEAL3		1	1	499	0.2%	No
EMC1		2	2	499	0.4%	No
EMC2		1	1	499	0.2%	No
SUSD4		2	2	499	0.4%	No
EMC3		1	1	499	0.2%	No
SUSD6		1	1	499	0.2%	No
SVIL		2	2	499	0.4%	No
TM4SF18		1	1	499	0.2%	No
MTX1		1	1	499	0.2%	No
NFYA		1	1	499	0.2%	No
NFYC		3	3	499	0.6%	No
SUSD2		3	2	499	0.4%	No
GBF1		8	8	499	1.6%	No
SUSD1		3	3	499	0.6%	No
SVIP		1	1	499	0.2%	No
NR6A1		2	2	499	0.4%	No
GSTA3		1	1	499	0.2%	No
GSTA2		2	2	499	0.4%	No
QPCT		1	1	499	0.2%	No
COPG2		1	1	499	0.2%	No
COPG1		2	1	499	0.2%	No
MEGF8		4	2	499	0.4%	No
SIPA1		5	3	499	0.6%	No
IHO1		1	1	499	0.2%	No
SPPL2C		1	1	499	0.2%	No
CCL4L1		1	1	499	0.2%	No
SPPL2A		2	2	499	0.4%	No
CLEC18B		3	2	499	0.4%	No
CLEC18A		1	1	499	0.2%	No
OR5H15		1	1	499	0.2%	No
HELB		8	7	499	1.4%	No
OR5H14		3	3	499	0.6%	No
BMPER		2	2	499	0.4%	No
EME2		2	2	499	0.4%	No
FPGS		1	1	499	0.2%	No
SVEP1		8	6	499	1.2%	No
POSTN		6	5	499	1.0%	No
IL11RA		1	1	499	0.2%	No
STIMATE		1	1	499	0.2%	No
CDPF1		1	1	499	0.2%	No
TRPC4AP		1	1	499	0.2%	No
RSBN1		2	2	499	0.4%	No
EMCN		2	2	499	0.4%	No
SPECC1L		3	2	499	0.4%	No
TIMELESS		5	5	499	1.0%	No
PMEL		2	2	499	0.4%	No
COPB2		2	2	499	0.4%	No
ZCCHC7		3	3	499	0.6%	No
COPB1		3	3	499	0.6%	No
ALOX15		2	2	499	0.4%	No
CLEC16A		5	3	499	0.6%	No
ALOX12		1	1	499	0.2%	No
CAMSAP1		6	4	499	0.8%	No
EMG1	1.950e-3	4	4	499	0.8%	No
THPO		1	1	499	0.2%	No
UBB		1	1	499	0.2%	No
NPC1L1		5	3	499	0.6%	No
UBD		1	1	499	0.2%	No
UBC		1	1	499	0.2%	No
TASOR		2	2	499	0.4%	No
TASP1		1	1	499	0.2%	No
LONRF3		1	1	499	0.2%	No
LONRF1		2	2	499	0.4%	No
LONRF2		1	1	499	0.2%	No
CPSF7		3	3	499	0.6%	No
CPSF6		2	2	499	0.4%	No
HELQ		4	4	499	0.8%	No
CPSF1		1	1	499	0.2%	No
CPSF2		1	1	499	0.2%	No
CLEC17A		1	1	499	0.2%	No
HELZ		2	2	499	0.4%	No
SELE		1	1	499	0.2%	No
SELP		4	4	499	0.8%	No
CAMSAP3		2	2	499	0.4%	No
DIAPH1		3	3	499	0.6%	No
DAO		1	1	499	0.2%	No
DIAPH3		2	2	499	0.4%	No
BAMBI		1	1	499	0.2%	No
PXMP2		1	1	499	0.2%	No
CRYL1		2	2	499	0.4%	No
ZCCHC4		3	3	499	0.6%	No
RBIS		1	1	499	0.2%	No
FGFR3		3	3	499	0.6%	Yes
ZCCHC3		3	3	499	0.6%	No
FGFR2		3	3	499	0.6%	Yes
ZCCHC2		2	1	499	0.2%	No
FGFR1		2	2	499	0.4%	Yes
GLP1R		1	1	499	0.2%	No
COLGALT2		1	1	499	0.2%	No
THRA		6	4	499	0.8%	No
CGB7		1	1	499	0.2%	No
CGB5		1	1	499	0.2%	No
DBI		1	1	499	0.2%	No
CLEC14A		2	2	499	0.4%	No
DBH		5	5	499	1.0%	No
OPLAH		2	2	499	0.4%	No
RBM4		1	1	499	0.2%	No
HEPH		2	2	499	0.4%	No
NTMT1		1	1	499	0.2%	No
DBT		1	1	499	0.2%	No
COLGALT1		4	4	499	0.8%	No
RBM5		4	3	499	0.6%	No
RBM6		1	1	499	0.2%	No
STPG1		1	1	499	0.2%	No
STPG2		2	2	499	0.4%	No
DCC		6	6	499	1.2%	No
STPG4		1	1	499	0.2%	No
GLP2R		1	1	499	0.2%	No
OXSR1		1	1	499	0.2%	No
MYRIP		3	3	499	0.6%	No
DCN		2	2	499	0.4%	No
C1QTNF9B		2	2	499	0.4%	No
RBL2		2	2	499	0.4%	No
ZAP70		6	4	499	0.8%	No
GAP43		1	1	499	0.2%	No
RBL1		2	1	499	0.2%	No
DNASE2		2	2	499	0.4%	No
RBKS		2	2	499	0.4%	No
NRXN1		3	3	499	0.6%	No
CLEC12B		2	2	499	0.4%	No
NRXN3		7	7	499	1.4%	No
NRXN2		2	2	499	0.4%	No
CFAP206		3	3	499	0.6%	No
DDO		1	1	499	0.2%	No
DDN		4	4	499	0.8%	No
BICRA		3	3	499	0.6%	No
NXF1		1	1	499	0.2%	No
MUC1		1	1	499	0.2%	Yes
MUC2		6	6	499	1.2%	No
NXF3		1	1	499	0.2%	No
RPS6KC1		1	1	499	0.2%	No
MUC7		6	6	499	1.2%	No
TYW1		3	3	499	0.6%	No
POC1B		2	2	499	0.4%	No
PDSS1		1	1	499	0.2%	No
BUB3		1	1	499	0.2%	No
NXF4		1	1	499	0.2%	No
BUB1		2	2	499	0.4%	No
GBP1		1	1	499	0.2%	No
MUC4		22	21	499	4.2%	No
GBP4		2	2	499	0.4%	No
GBP3		2	2	499	0.4%	No
MUC6		8	8	499	1.6%	No
ATP13A1		2	2	499	0.4%	No
CRYGN		2	2	499	0.4%	No
DEK		1	1	499	0.2%	Yes
CRYGC		1	1	499	0.2%	No
CAPN13		2	2	499	0.4%	No
CRYGD		1	1	499	0.2%	No
CRYGA		1	1	499	0.2%	No
CAPN11		5	4	499	0.8%	No
PDE10A		5	4	499	0.8%	No
CAPN12		1	1	499	0.2%	No
CAPN10		1	1	499	0.2%	No
RPS6KB2		2	2	499	0.4%	Yes
ATP13A4		2	2	499	0.4%	No
ATP13A5		6	6	499	1.2%	No
ATP13A2		1	1	499	0.2%	No
ATP13A3		3	3	499	0.6%	No
FBXW10B		1	1	499	0.2%	No
RBMX		1	1	499	0.2%	No
CSNK1A1L		1	1	499	0.2%	No
FSIP2		2	2	499	0.4%	No
MDC1		4	2	499	0.4%	Yes
MT-ND4		5	5	499	1.0%	No
ADAMDEC1		1	1	499	0.2%	No
MT-ND5		5	5	499	1.0%	No
ZFYVE9		1	1	499	0.2%	No
NEXMIF		2	2	499	0.4%	No
OR2M7		3	3	499	0.6%	No
ARAF		1	1	499	0.2%	Yes
OR2M5		1	1	499	0.2%	No
OR2M4		2	2	499	0.4%	No
C4BPA		2	2	499	0.4%	No
